iter	MultiClass
0	0.9466254738
1	0.8241991932
2	0.7340466451
3	0.6536284133
4	0.5859795425
5	0.5292209816
6	0.4801514229
7	0.4389455848
8	0.4042636066
9	0.370412085
10	0.3411130444
11	0.3159501952
12	0.2914363326
13	0.2716320137
14	0.2513426853
15	0.2357318994
16	0.2204461968
17	0.2077201221
18	0.1944269351
19	0.1816310558
20	0.1704877213
21	0.1610113733
22	0.1528405566
23	0.1441824699
24	0.1362754673
25	0.1291041997
26	0.1221283295
27	0.1160675103
28	0.111191738
29	0.1062620583
30	0.1018787034
31	0.0973964887
32	0.09292660705
33	0.08849417837
34	0.08451679534
35	0.08132019568
36	0.07854138761
37	0.07532814458
38	0.07278305384
39	0.07039771828
40	0.0687275157
41	0.06595103616
42	0.06379246349
43	0.06053078197
44	0.05793545939
45	0.05602127249
46	0.05469551285
47	0.05245536479
48	0.0508283345
49	0.04897879294
50	0.04754127515
51	0.0462726872
52	0.04520351591
53	0.04404516321
54	0.04265296591
55	0.0415866917
56	0.04021499989
57	0.03919401194
58	0.03814867056
59	0.03705231939
60	0.03636743094
61	0.03517914615
62	0.03403961436
63	0.03313857419
64	0.03213124398
65	0.03128610872
66	0.03042409263
67	0.02961623239
68	0.02910819807
69	0.02824157658
70	0.02759276299
71	0.02699125775
72	0.02630616806
73	0.02572756487
74	0.02524135431
75	0.02469650558
76	0.02410523407
77	0.02357827517
78	0.02323095992
79	0.02238829074
80	0.0219827043
81	0.02139604039
82	0.02089929801
83	0.02049171186
84	0.01998753973
85	0.01949661997
86	0.01907656216
87	0.0186813125
88	0.01826769403
89	0.01789620407
90	0.01765551247
91	0.01733517683
92	0.016983985
93	0.01677852279
94	0.01653250892
95	0.01629607726
96	0.01595602928
97	0.01555566634
98	0.01528051748
99	0.01513824145
100	0.01494155324
101	0.01471781358
102	0.01439209046
103	0.0141774332
104	0.01394665125
105	0.01355496306
106	0.01334186995
107	0.01304913803
108	0.01273340963
109	0.01261556208
110	0.01245003403
111	0.01227993751
112	0.01214335798
113	0.01196836639
114	0.01180409042
115	0.01159153022
116	0.01142714588
117	0.01132022569
118	0.01117395606
119	0.01101789645
120	0.01082466303
121	0.01059032638
122	0.01043360227
123	0.01022446182
124	0.01010402722
125	0.009980846907
126	0.009863488365
127	0.009676127857
128	0.009515302039
129	0.009373643427
130	0.009179681784
131	0.009111110537
132	0.009012843286
133	0.008865392942
134	0.008764539745
135	0.008574249971
136	0.008462429613
137	0.008383130845
138	0.00829663285
139	0.008222125458
140	0.008125282514
141	0.008040103114
142	0.007973768722
143	0.007894036348
144	0.007814773289
145	0.007744389846
146	0.007694675491
147	0.007651769271
148	0.007569121617
149	0.007499543603
150	0.007346446708
151	0.007287890231
152	0.007171303433
153	0.007117428439
154	0.007090335634
155	0.006966992944
156	0.006908743799
157	0.006817538728
158	0.006752112355
159	0.006725861803
160	0.006683081655
161	0.006545096345
162	0.00649374226
163	0.006418019712
164	0.006311032255
165	0.006227340249
166	0.006187052112
167	0.0061352423
168	0.006085538921
169	0.00595490004
170	0.005908688377
171	0.005857820112
172	0.005825041112
173	0.005792137399
174	0.005734374424
175	0.005691744594
176	0.005653983802
177	0.005600323413
178	0.005483354632
179	0.005421396508
180	0.005392069768
181	0.005322679733
182	0.00528260981
183	0.00524782517
184	0.00519607329
185	0.005170809087
186	0.005128172479
187	0.005086503242
188	0.005073837917
189	0.005039427575
190	0.004992243878
191	0.004960445548
192	0.004943211757
193	0.004831108786
194	0.00478724995
195	0.004763024528
196	0.004731752262
197	0.004708139052
198	0.004669500732
199	0.004657863441
